iter	Passed	Remaining
1398	2529	1086
1399	2530	1084
1400	2532	1082
1401	2534	1081
1402	2536	1079
1403	2537	1077
1404	2539	1075
1405	2540	1073
1406	2542	1071
1407	2544	1069
1408	2546	1068
1409	2548	1066
1410	2550	1064
1411	2552	1062
1412	2554	1061
1413	2556	1059
1414	2558	1057
1415	2560	1055
1416	2562	1054
1417	2563	1052
1418	2565	1050
1419	2567	1048
1420	2569	1046
1421	2570	1045
1422	2572	1043
1423	2574	1041
1424	2576	1039
1425	2578	1037
1426	2579	1035
1427	2581	1034
1428	2584	1032
1429	2585	1030
1430	2587	1028
1431	2589	1027
1432	2591	1025
1433	2592	1023
1434	2594	1021
1435	2596	1019
1436	2597	1017
1437	2600	1016
1438	2602	1014
1439	2604	1012
1440	2606	1011
1441	2607	1009
1442	2609	1007
1443	2611	1005
1444	2613	1003
1445	2616	1002
1446	2618	1000
1447	2619	998
1448	2621	996
1449	2623	995
1450	2625	993
1451	2626	991
1452	2628	989
1453	2629	987
1454	2631	985
1455	2633	984
1456	2635	982
1457	2637	980
1458	2639	978
1459	2641	976
1460	2642	974
1461	2644	973
1462	2645	971
1463	2647	969
1464	2649	967
1465	2651	965
1466	2653	963
1467	2655	962
1468	2657	960
1469	2658	958
1470	2660	956
1471	2661	954
1472	2663	953
1473	2665	951
1474	2667	949
1475	2670	948
1476	2673	946
1477	2674	944
1478	2676	942
1479	2678	941
1480	2680	939
1481	2682	937
1482	2684	935
1483	2686	934
1484	2688	932
1485	2690	930
1486	2692	928
1487	2693	926
1488	2695	925
1489	2697	923
1490	2699	921
1491	2701	919
1492	2703	917
1493	2704	916
1494	2706	914
1495	2708	912
1496	2710	910
1497	2712	908
1498	2714	907
1499	2716	905
1500	2717	903
1501	2719	901
1502	2721	899
1503	2723	898
1504	2725	896
1505	2726	894
1506	2728	892
1507	2730	890
1508	2732	888
1509	2733	887
1510	2735	885
1511	2737	883
1512	2738	881
1513	2740	879
1514	2742	878
1515	2744	876
1516	2746	874
1517	2748	872
1518	2749	870
1519	2751	868
1520	2753	867
1521	2755	865
1522	2756	863
1523	2758	861
1524	2760	859
1525	2762	858
1526	2764	856
1527	2766	854
1528	2768	852
1529	2770	851
1530	2772	849
1531	2774	847
1532	2776	845
1533	2778	844
1534	2780	842
1535	2782	840
1536	2784	838
